uuid	text
7ea71ae2-20d7-474e-a06b-82aba0c4e8f9	State what happens if you invoke an instance method on null.
7f510ba7-cadd-49da-94a5-226eb33be419	State the two contexts where an array initializer may appear
7f8cd116-9db8-48c0-865c-ee91b9d8d52e	List the three kinds of control flow.
803aa40b-47ee-41fa-b2d7-ab9089d5434d	Calculate the value of == & != expressions with references including null
80aa4074-1de5-434a-92bf-12739f39145f	Discuss ways software can have unintended societal consequences
8109d567-8471-492b-866e-e7aedcab97ac	Distinguish between local and member variables
8282f8ed-49bc-4936-bced-1bf061a06e40	Distinguish between primitive values and wrapper types.
8349e2f1-10d2-463e-88bd-0afc62bd049a	"Define ""sequencing"""
8377675d-df43-4f6f-b647-c987cda92bc4	Write code that declares and uses static variables
8591041b-3cb3-4558-93b7-1a531b55905b	Describe ways a data set can be useful for one question but misleading for another
874c0d24-dfb6-4d59-b762-fc16477bbdb9	Write a String accumulator loop
88793d3d-20b6-48e7-83f2-ec681e7eea8e	Write methods that take arguments that they used to compute their result or to have the desired side effects.
88888a01-8ca2-4743-9ee3-83eaa25cef0c	Explain argument passing in terms of the call stack
899abfa9-cf78-4be1-989a-46f649d8d6cb	Write regular for loops to traverse arrays
8aba3490-639b-4515-b362-376477b6822b	Trace the order of evaluation of expressions & statements.
8bb26936-c33c-496e-bdcb-8257470b7039	Explain the relation between sequential evaluation and assignment
8c49974f-8de0-4afc-94ae-e509214c6b0b	Calculate the value of expressions using == & != with references
8c66bef8-43b1-4aea-a7f4-e747adb11e4b	Calculate the value of boolean expressions using &&, ||, and !
8d090e49-4519-4cf0-93b1-480cd225a91a	Apply De Morgan's laws to boolean expressions
8e576490-d728-40d0-8bc2-f0260df2dd7a	Translate iterative code to recursion
902ed0fb-3ea4-49b7-9360-5cd4e95200a3	Evaluate arithmetic expressions involving casts.
925a5d29-c6c2-4d72-91f0-390ec44b2c0f	Write correct invocations of a constructor with new
92c4ba1c-55f8-4806-bb29-9732813be256	Distinguish between when we have to use this. and when its optional
9351853e-85ce-4887-b22c-4da478f83df7	Fix inadvertant infinite while loops
938b92d5-ee0e-425a-ace4-64eeeaf6a5a9	Add useful comments to code.
93abd1b8-cff0-4ca7-8bfa-d84b0cd014e1	Write insertion sort.
93e07719-56ae-4ffc-bef0-5f5718e6b56d	Write code to process all elements of a 2D array w/ enhanced for loops
93f26463-c8e2-4fa2-93ce-1f95d99bfbdf	Create methods by extracting code
942b53e2-a191-4f77-9404-9f29942e3f0b	Describe the difference between arrays and ArrayLists
94805b57-58b9-40cd-9723-fa1673eac9e3	Describe each of the `ArrayList` method on the Java Quick Reference.
94fbea0a-df96-48c1-8305-176d90120069	Write code that uses strong literals.
953f3365-b597-45c1-8f5e-b960bc75112e	Write code that builds up a String value with +=
959a02e6-3b27-4ad6-9da2-098cc79e93af	Write code to declare and initialize an array with an array initializer
96204ddb-58b3-4677-b7dd-0de363342699	Describe how postconditions constrain other code.
9690e8d4-9d6a-4878-bfc4-574a55d36b87	Explain results of code that uses compound assignment operators
96d357dc-8547-4816-8d02-d53b9a04d560	Identify methods that can be used in an expression based on return type
993d25cf-b0b4-4447-aca8-0a542f1882fa	Write code that uses Scanner with System.in
99d49db5-5459-487b-91e3-cc67dbb23aa4	State what happens if we divide an `int` value by zero.
9a3e89cd-c171-4366-9d65-a0c53d4c725a	Explain why the order of operations can affect the value of double comp.
9a77ec7d-e6a9-42b8-bc21-2b7eb75de92b	List the rules of boolean algebra
9a820ae5-535b-4939-84c9-b3df2217533d	Compute how many times the inner body of a nested for loop runs.
9aa75e5c-785a-43b3-8cba-e640d4c38b77	Describe how arrays are represented in the heap
9b45326f-1f5f-447f-98e5-b5c3edaddcb6	Explain the main job of every constructor
9bae5d1e-cb5b-43c7-afb5-d6baf62f9026	Explain why you might write a getter but no setter
9bee76da-4c74-4157-8777-73c245ba2686	"Define ""attribute"""
9c8565a2-f7e1-48e7-959b-2fe942c9c600	Explain how call by value works.
9cab2c7f-2922-46bc-9926-b80c86cfc2e0	Write code to call static methods
9ce0d824-047a-487c-a532-2cbb5de9ee5d	Describe a recursive algorithm that is hard to express iteratively
9cef504a-87e1-459f-89e6-5a27cd735274	Explain why constant values are often defined as static variables
9d199b14-28a1-4461-8bc5-b4ce67e1950c	State the relationship between the length of an array and its last valid index.
9d518b81-c137-45d5-bcc9-e3ed8b8ecb2e	List the three primitive data types we will use in this course.
9d6d1ab7-59c0-48bd-89fa-f61599ce9a43	Explain what it means if two objects represent the same mutable object
9dd34095-a834-4241-bdc9-8d7b22339684	Write code to process cells and their neighbors in a 2D array
9e744a15-6d3c-408a-a573-0801501df15c	Explain why we can (and should) use equals with all reference types.
9e856ff2-3bc5-4af3-a872-cc4b6e16cec7	Demonstrate selection sort with cards
9eb1ebb9-1eff-47d4-8184-09b686b93014	Describe a program (e.g. Google docs) abstractly in English
9f708d9b-57ef-446d-8a2b-02e7bb00ae51	State when you must use a regular for loop with an ArrayList
a28330b3-6b85-4f6b-b1ea-7421f74cf938	Write correct calls to instance methods on specific object
a28480e9-d91b-4d0e-9e69-9239761dc798	Apply De Morgan's laws to expressions involving relational & equality operators
a2df6e0f-f6e2-4dd7-996d-fa0f3c00d61a	Explain how recursive calls work in terms of the stack and local variables
a2f029ef-80eb-4fa6-9e30-21583640270a	Write chained relational expressions with && as standard form
a30bed67-3875-4cdf-b1ef-0ea6d1084b9d	State the value of array access expressions
a33b0de2-e7fe-4184-883c-ff3f0d901d01	Identify missing semicolons and extraneous semicolons
a36e9353-cf41-41e2-8156-86d728d0b8ce	Identify the condition of a while loop
a3e6b87f-9b9b-40c7-8200-ab92051c8cc9	State the number of values in a 2D array
a4233785-d24f-46f0-a281-a5912a0e0444	Write a loop to remove matching elements from ArrayList
a52faa9d-171b-4ffb-914c-ed503be321eb	Explain the recipe for writing comparisons using compareTo
a68e7001-03fa-4b58-b840-d300de8b7fcb	Write non-void methods that compute values.
a71911ac-6a6b-4d57-87c1-f962ad7bf033	Explain the scope of variables
a809273f-defe-485d-a047-f2f9641093a3	Write code to traverse multiple Strings, arrays, or ArrayLists in parallel
a8dcfdf4-2d16-4338-952a-1133d1b345d8	State the purpose of constructor parameters.
a9b7ab78-cc9a-44f4-8309-783b34e54873	Explain what it means for expressions to be equivalent
aa85cfb3-ac83-489f-b718-b04877e65452	Write correct method signatures given a name, return type, and arg types
aaa9c0e2-43a2-4da0-828e-778d0cf3e9de	State the name, return type, and argument types & names given a usage.
aabe54e7-6dfc-4aba-9731-19391e0c0079	Distinguish between compile-time and run-time errors from an error message.
aadeeb54-3cd1-4a6b-ab73-d5313c67ac50	State the valid indexer of an array
ab09ee8c-29df-406c-a3d5-2f0bb5f2a8bb	State what happens if you try to use a negative index or one greater than or equal to the size of an `ArrayList` with `get` or `set`
ab5e0639-5a47-4295-9c9b-bbfd81df8820	State the names and approximate values (and exact expression) of int max.
ab95ea7e-75e2-46c5-8960-23ff0b0cbb03	Outline the difference between viewing a 2D array as a grid vs table
ab994270-9072-4494-b956-85ec4d239a61	State the type of arithmetic expressions.
ac1c2697-9967-47da-8ffe-d91a72869221	State why the `Math` class can be used in any code.
ac4c2572-a5e4-4271-91e9-dd12b826412e	Identify the correct method signature for a given method call.
ac4f8d0c-f1ad-4051-96b6-f474bcbf92b7	Write a canonical for loop that runs N times
aca3d238-205a-4a69-92f4-51f4184f7b55	Identify sorting algorithm from code (bubble, insertion, selection, merge)
acf6fcdf-fd97-48e4-9c26-59653ad95652	Write a find index loop
adbc2a75-43f4-4aaa-998b-dce0186c0b0e	Write code that uses string concatenation with +
adcdbf4a-89eb-4644-9ed0-624215b0109e	Write code that declares variables with array types
ae2e83a4-57cd-41a0-a295-3c0f87fbc810	Describe how method decomposition creates layered abstractions
b08a3884-8b07-4035-b164-13fba0b12dd7	Explain why static methods can't access instance variables
b0a1c72e-91f9-4e00-974c-36657036c3f5	Simplify boolean expressions (2 and 3 variables)
b0ca0d44-218a-4c9d-a275-d46783db4742	Describe the relationship between classes, libraries, & APIs
b263f73a-87c5-40a4-8023-bf437d9d96ec	Write code to access individual elements of a 2D array
b26e0f26-82d5-4acc-aee4-b043c433afff	Explain the role of booleans in selection & repetition
b2966670-7f91-4ed5-bc87-738948815030	Write a loop to reverse a String
b306f6dd-f43d-4078-9e4a-ede41bd6f085	Write comments documenting a method's pre- and post-conditions.
b30b4726-11e6-486e-b042-01bcefdae245	Describe the purpose of literal values in code.
b523aa57-415e-412a-b19f-36239c372fdd	Write code that uses `if`/`else` statements to create two way branches.
b6e42f58-0fe1-4ed1-93d7-cb6c7e77b69a	Explain why the this. idiom is necessary.
b8d83981-ab4d-4684-b42a-3a445a7fa2bb	Write correct calls to instance methods with implicit this.
ba96b284-8f3e-4570-8802-bc690a016bce	Write code using all the standard looping patterns over an array
ba9b6405-9828-40f5-a2ee-f8edb4a03d56	Explain why binary search is more efficient than linear search.
bb26c660-f3c1-47ea-a438-56d754bf5441	Describe the difference between compile-time and run-time errors
bb406397-21d0-445a-bdf0-5a4abe93b455	Write correct calls to a method given its signature
bb4c26fe-281a-421f-aa73-fc76354a2114	Explain the difference between returning a string and printing
bbcad76a-02c1-4f52-84dd-cb8b155c0c23	Explain the two (?) ways int math only approximates real math.
bbe6007e-a4c9-4c26-a840-c410baad2d75	Identify shadowed variables
bbe7cc03-7675-4ad7-9e84-aa9c45645d28	Write methods that modify an array held in an instance variable
bd0ab275-edf3-4dfb-9ca2-97b259ee7a09	Write arithmetic expressions with Math.pow, Math.sqrt, and Math.abs
be65fdd0-43e8-45d1-b1f4-eec4893ef008	Write a class with an overridden toString
bef526f9-97d5-4374-9f95-8c80c237b9dd	Write a summing loop
bf2140d4-7656-43ef-adca-23b07f559e9a	Describe how binary search works
bf50625a-316d-49a8-b334-6cb611ce119e	Explain how ints & doubles are an abstraction
bf9e3d59-9a3e-4238-af4f-034bfd4917e0	Explain what it means for each object to have its own copy of instance variables
c019c453-8273-4c95-be3e-4d58f8b8f4e9	Identify correct & incorrect uses of constructor invocation based on expected type.
c0870199-de97-448d-80ae-539b450b4f1c	State how to disambiguate a reference to a shadowed member variable
c0902251-4e08-4b1b-887f-43393659ae9d	Write a reducing loop
c20be1b6-5a72-42e3-a52e-d19fb3e9cbeb	"Define ""system reliability"""
c2200661-11df-47c1-ae40-f233709ecdc3	Write expressions using arithmetic operators obeying precedence
c229a8b8-a878-4258-bfb9-a92f52ae30a5	"Define ""traversing"" an array."
c2d2e2c6-6629-4cc4-a67a-b5c40d416d0e	Explain the role parameters play in a procedural abstraction
c2d7b9c8-20e4-4851-9c6b-ccfaa6aeec76	Write code that modifies mutable objects stored in an array.
c37ea379-82f3-4187-b789-cb623c34a122	Write enhanced for loops to traverse a 1-d array
c395f2a8-9cf6-4beb-82df-41f6be78ba41	Explain why else if is an (okay) violation of the always use braces rule
c3eac1ba-7741-46b3-bf65-1e997df9a229	Explain return in terms of the call stack
c3edbbac-dd79-4297-9fa0-fdc1d86e0b11	Write a recursive binary search
c44ec26e-b4f2-4ceb-bca2-503267241b6d	State the value and type of mixed int/double expressions.
c4d7feec-0065-4eca-a439-32e4d01ce98d	Write code that uses both 1-arg and 2-arg substring
c5212f86-4cfe-4fc7-9a9a-b1a58f5b2310	"Define ""algorithmic bias"""
c57f6798-0a7b-4e1c-90f9-d24adcd65817	Write code to produce various summary statistics of a data set
c6385690-0d73-4c8c-99a7-b90f35e96ffb	Describe how arrays of reference types are stored in the heap.
c6b84d1b-0762-48aa-ac65-ac4e0654d101	Write getters & setters (accessors & mutators)
c6ba53e5-860d-495e-a1a0-d73ffa817156	Write an all/every loop
c6efc156-84c6-4419-adf9-34c4466312bc	List conditions that you might use in a while loop
c6f3e7e8-d8cb-46b4-afd1-ecbccb6c2b1b	Explain what a half-open intervals (is- closed)
c7ebc916-9b70-4688-bea3-5b562bf41cce	Distinguish between primitive and reference types.
c843d2a5-113c-42e8-abf2-1cc26244424e	Write overloaded constructors that use this()
c93988dc-7ff5-44e5-a5df-6ae2cf834564	Write code to reverse the elements in an array
c9791928-299a-4b38-8731-2d48175eec2e	Describe the kinds of values in, non-computer terms, represented by `int`, `double`, and `boolean`.
c9826686-328a-4c47-b32d-e17132034230	Describe the relationship between class attributes, methods, and constructors
c998e915-669c-4d85-a186-bc7e9c28d4fe	Explain how copyright applies to software
c9ea635a-110a-49c0-9644-774795a366b2	Distinguish between syntax & type errors.
ca386b5b-7a47-4436-8a9a-bb5fed049c58	Write for loops that modify array elements.
